date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:21:00	301065/301065	---MCZ	200	added ('OK')	text/html	date:Sun,%2002%20Oct%202022%2008:21:03%20GMT	https://www.thelogistixco.com/	C:/inetrship/service/www.thelogistixco.com/index.html	(from )
01:21:00	96/96	---MCZ	200	added ('OK')	text/plain	date:Sun,%2002%20Oct%202022%2008:21:03%20GMT	https://www.thelogistixco.com/robots.txt		(from )
01:21:02	72886/72886	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2002%20Oct%202022%2008:21:04%20GMT	https://www.thelogistixco.com/o,baseURI	C:/inetrship/service/www.thelogistixco.com/o,baseURI	(from https://www.thelogistixco.com/)
01:21:03	72886/72886	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2002%20Oct%202022%2008:21:05%20GMT	https://www.thelogistixco.com/GET	C:/inetrship/service/www.thelogistixco.com/GET	(from https://www.thelogistixco.com/)
01:21:04	546490/546490	---M--	200	added ('OK')	image/jpeg	etag:%22633490ac-85742%22	https://cdn-dhaoc.nitrocdn.com/yFqVfRYBJOLINhnquyhbCoFSffBIZaKV/assets/static/optimized/rev-36dbb12/wp-content/uploads/2021/03/AdobeStock_330944651.jpg	C:/inetrship/service/cdn-dhaoc.nitrocdn.com/yFqVfRYBJOLINhnquyhbCoFSffBIZaKV/assets/static/optimized/rev-36dbb12/wp-content/uploads/2021/03/AdobeStock_330944651.jpg	(from https://www.thelogistixco.com/)
01:21:04	4838/4838	---M--	200	added ('OK')	image/png	etag:%22633490ab-1368%22	https://cdn-dhaoc.nitrocdn.com/yFqVfRYBJOLINhnquyhbCoFSffBIZaKV/assets/static/optimized/rev-36dbb12/wp-content/uploads/2021/03/Mask-Group-1@2x.png	C:/inetrship/service/cdn-dhaoc.nitrocdn.com/yFqVfRYBJOLINhnquyhbCoFSffBIZaKV/assets/static/optimized/rev-36dbb12/wp-content/uploads/2021/03/Mask-Group-1@2x.png	(from https://www.thelogistixco.com/)
01:21:05	72886/72886	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2002%20Oct%202022%2008:21:07%20GMT	https://www.thelogistixco.com/Edge/	C:/inetrship/service/www.thelogistixco.com/Edge/index.html	(from https://www.thelogistixco.com/)
01:21:05	58050/58050	---M--	200	added ('OK')	image/jpeg	etag:%22633490ae-e340%22	https://cdn-dhaoc.nitrocdn.com/yFqVfRYBJOLINhnquyhbCoFSffBIZaKV/assets/static/optimized/rev-36dbb12/wp-content/uploads/2021/03/Liquid-Bulk.jpg	C:/inetrship/service/cdn-dhaoc.nitrocdn.com/yFqVfRYBJOLINhnquyhbCoFSffBIZaKV/assets/static/optimized/rev-36dbb12/wp-content/uploads/2021/03/Liquid-Bulk.jpg	(from https://www.thelogistixco.com/)
01:21:07	55199/55199	---MCZ	200	added ('OK')	application/json	date:Sun,%2002%20Oct%202022%2008:21:08%20GMT	https://www.thelogistixco.com/wp-json/wp/v2/pages/1378	C:/inetrship/service/www.thelogistixco.com/wp-json/wp/v2/pages/1378.json	(from https://www.thelogistixco.com/)
01:21:07	3439/3439	---MCZ	200	added ('OK')	application/rss+xml	etag:%22bcbbb13f2e874ef3100d357bb0f5300f%22	https://www.thelogistixco.com/comments/feed/	C:/inetrship/service/www.thelogistixco.com/comments/feed/index.html	(from https://www.thelogistixco.com/)
01:21:07	40247/40247	---MCZ	200	added ('OK')	application/rss+xml	etag:%22bcbbb13f2e874ef3100d357bb0f5300f%22	https://www.thelogistixco.com/feed/	C:/inetrship/service/www.thelogistixco.com/feed/index.html	(from https://www.thelogistixco.com/)
01:21:07	221160/221160	---MCZ	200	added ('OK')	application/json	date:Sun,%2002%20Oct%202022%2008:21:09%20GMT	https://www.thelogistixco.com/wp-json/	C:/inetrship/service/www.thelogistixco.com/wp-json/index.html	(from https://www.thelogistixco.com/)
01:21:07	841/841	---MCZ	200	added ('OK')	text/xml	date:Sun,%2002%20Oct%202022%2008:21:10%20GMT	https://www.thelogistixco.com/xmlrpc.php?rsd	C:/inetrship/service/www.thelogistixco.com/xmlrpc0db0.php	(from https://www.thelogistixco.com/)
01:21:08	1045/1045	---M--	200	added ('OK')	application/xml	date:Wed,%2006%20Feb%202019%2014:48:10%20GMT	https://www.thelogistixco.com/wp-includes/wlwmanifest.xml	C:/inetrship/service/www.thelogistixco.com/wp-includes/wlwmanifest.xml	(from https://www.thelogistixco.com/)
01:21:08	5533/5533	---MCZ	200	added ('OK')	application/json	date:Sun,%2002%20Oct%202022%2008:21:11%20GMT	https://www.thelogistixco.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.thelogistixco.com%2F	C:/inetrship/service/www.thelogistixco.com/wp-json/oembed/1.0/embeda52d.json	(from https://www.thelogistixco.com/)
